Title,Text
Знаменитый повар Джейми Оливер закрывает шесть ресторанов,"Правообладатель иллюстрации Getty Images Image caption Джейми Оливер - один из популярнейших телекулинаров мира

Легендарный британский телеведущий и повар Джейми Оливер закрывает шесть из 42 ресторанов итальянской кухни на территории Британии.

В результате сокращения сети 120 человек останутся без работы. Четыре из шести подлежащих закрытию ресторанов находятся в Лондоне.

По словам представителей Оливера, рынок стал жестче, а ""брексит"" лишь усилил неопределенность рынка.

Падение фунта по отношению к евро также означает, что специфические итальянские продукты стали дороже для британских предпринимателей.

Как сообщил управляющий делами Оливера Саймон Блэгден, каждый ресторан их сети должен привлекать не менее 3 тысяч гостей в неделю, чтобы оставаться на плаву, но это возможно не во всех районах Британии.

При этом британская компания по-прежнему планирует открыть 22 новых ресторана итальянской кухни за рубежом.

Кроме того, в прошлом году Оливер заявил о намерении вернуть себе контроль над маркой Jamie's Italian в Австралии.

Еще в 2013 году повар-телезвезда высказался в поддержку единого рынка труда в Европе, высоко оценив труд мигрантов из континентальной Европы в его компании по сравнению с британцами."
California is backsliding on water conservation. L.A. can't and won't follow suit,"Thankfully, despite the state's rollback, many local water agencies here in the Southland are doubling down on water conservation. L.A. Mayor Eric Garcetti committed the city to reducing water consumption from 131 gallons per capita per day of residential commercial and industrial use in 2014 to 104 gallons per capita per day by January 2017. Angelenos are already starting to meet that target ahead of schedule. In the last year they've saved far more water (approximately 40 billion gallons, or 123,000 acre feet) than Long Beach uses in a year."
Page not found,"HERE Is WHAT WILL HAPPEN If The DEEP STATE TAKES DOWN PRESIDENT TRUMP & It’s NOT PRETTY … FOR THEM

“The tree of liberty must be refreshed with the blood of patriots and tyrants.” – Thomas Jefferson

ELDER PATRIOT – Corrupt politicians ignore Jefferson’s directive to their own detriment. It’s no longer political, it’s personal.

Americans have had their eyes opened by the ascension of Donald Trump and no amount of leftwing money can put the Freedom Movement genie back in the bottle.

Conservative Senator Ted Cruz made that observation after reviewing the results of the 2016 elections and the expectations of the voters.

Cruz, who had the most high profile personality clash with Donald Trump during the Republican primary process nevertheless embraced Trump’s America First agenda and said, “If we’re given the White House and both houses of Congress and we don’t deliver, I think there will be pitchforks and torches in the streets. And I think quite rightly.”

Candidate Trump promised many things – border control, lower taxes, fairer trade relations, a balanced budget, healthcare that puts the people first not the government, safer communities, and – to the extent possible – an end to foreign wars. What, among those promises, should any Republican, nay any American, have a problem with?

After four months without a single legislative achievement, Congressional and Senatorial Republicans – notably John McCain, Paul Ryan and Lindsey Graham – have joined the Democrats in investigating President Trump absent a single shred of evidence that an underlying crime has been committed.

So, what gives?

Well, there was one additional promise that Trump made on his way to the White House that has some Republicans joining with Democrats and quaking in their boots, Trump’s promise to “Drain the Swamp.”

As we reported yesterday, “An F.B.I. agent with ‘intimate knowledge of the inner workings of the Clinton case’ told us that they uncovered evidence of such massive corruption that the agents involved realized that damned near the entire government could be brought down.”

The criminal co-conspirators in both parties realized almost immediately that the new sheriff wasn’t interested in joining them in the swamp so they launched, what can only be characterized as, a coup attempt.

Democrats are well schooled in such things probably because of their close alliance with Marxist regimes that can only gain power by seizing it through bloody civil wars. It should be noted that the Democratic Party has already done this once before.

One Hundred and Fifty-Seven years ago the Democrats waged a war against the First Republican President Abraham Lincoln for giving Blacks their freedom. That war came at a high price, as many as 700,000 Americans died fighting for what they believe in. To put that in perspective, these casualties exceed the nation’s loss in all its other wars, from the Revolution through Vietnam.

Today, Americans are still prepared to fight and die to protect their children’s God-given freedoms. Despite what you are reading and hearing in the mainstream media, they aren’t the leftwing-funded rioters, the pussy hat-wearing feminists, or the cuck bois that cant handle a micro aggression. No, the Americans that back Donald Trump are well armed.

Donald Trump’s presidency will move forward politically lest the sixty million patriots who voted for him, that are comprised of the large majority of military voters, police, and NRA members, move it forward by force.

These patriots are armed, trained, prepared, and have proven their discipline. They have grown disgusted by the corruption in Washington and will do whatever is necessary to make sure Trump’s Freedom Agenda moves forward and under the direction of Donald Trump himself.

No amount of fake news based on unsubstantiated charges by unnamed sources is going to change that. The battle lines have been drawn and no amount of finger pointing is going to convince these patriots to let anyone overturn the election results.

So why are establishment politicians courting a bloodbath on the streets of America that will also threaten them personally when they could be part of Making America Great Again? It’s because they have been caught red-handed and up to their eyeballs in a worldwide criminal conspiracy that has nothing to do with politics and everything to do with defrauding the American taxpayers.

And, now that they’ve been caught robbing the world’s largest bank – the U.S. treasury – they have chosen to go out in a blaze of glory rather than try to defend the indefensible at trial.

Washington’s criminal elites have chosen to go to war to unseat our duly elected president. It’s time to make our voices heard before this turns very ugly. Buckle your chin strap, America is counting on you.

EDITORS NOTE: THIS IS NOT A CALL TO ARMS BUT RATHER AN ANALYSIS OF WHAT WOULD HAPPEN IF THE DEEP STATES OVERTURNS A DUELY ELECTED PRESIDENT.

HERE IS A LIST OF EVERY SINGLE TIME OBAMA COMMITTED AN IMPEACHABLE OFFENSE THAT DEMS & MEDIA COVERED UP

“Impeach!” It’s been more than eight years since Democrats uttered that word – long enough for anyone to wonder if it was still in their vocabulary, considering the deafening silence through the dozens of serious scandals during President Obama’s administration – but now that President Trump is the man in the White House, it’s back with a vengeance.

Democrats everywhere are wildly slinging the “I” word, hoping to nail Trump for high crimes and misdemeanors after the New York Times claimed a memo written by former FBI Director James Comey said the president urged him to end the federal investigation into former national security adviser Michael Flynn.

Some members of Congress are getting in on the action. They include Reps. Maxine Water, D-Calif., and Al Green, D-Texas. Even a Republican, Rep. Justin Amash, claimed Wednesday there are grounds to impeach President Trump. House Oversign Committee Chair Rep. Jason Chaffetz, R-Utah, asked for the alleged Comey memo and other documents. Chaffetz tweeted that he is prepared to subpoena the information. And Sen. John McCain, R-Ariz., invoked “Watergate.”

Now the Democratic Party is reportedly poll testing impeachment as a 2018 election issue. More than 1 million people signed a petition calling on Congress to impeach Trump.

Wasting no time Wednesday, the mainstream media sprang into action, enthusiastically echoing the left’s impeachment calls. MSNBC launched a Watergate ad implying Trump is America’s new Richard Nixon.

“Watergate. We know its name because there were reporters who never stopped asking questions,” says MSNBC host Chris Hayes, who hinted that Trump is next on the impeachment chopping block. “Now, who knows where the questions will take us. But I know this: I’m not going to stop asking them.”

Meanwhile, some overzealous members of the left plastered fliers around Washington, D.C., demanding all White House staffers resign Wednesday.

The posters read: “If you work for this White House you are complicit in hate-mongering, lies, corrupt taking of Americans’ tax money via self-dealing and emoluments, and quite possibly federal crimes and treason. Also, any wars will be on your soul. … Resign now.”

But constitutional scholar Jonathan Turley, who voted for President Obama, warned “impeachment” enthusiasts not to get ahead of themselves with President Trump. Why?

At this time, there’s no evidence Trump actually committed a crime.

“The criminal code demands more than what Comey reportedly describes in his memo,” Turley wrote in a May 17 opinion piece posted at the Hill. Turley explained:

For the first time, the Comey memo pushes the litany of controversies surrounding Trump into the scope of the United States criminal code.

However, if this is food for obstruction of justice, it is still an awfully thin soup. Some commentators seem to be alleging criminal conduct in office or calling for impeachment before Trump completed the words of his inaugural oath of office. Not surprising, within minutes of the New York Times report, the response was a chorus of breathless “gotcha” announcements. But this memo is neither the Pentagon Papers nor the Watergate tapes. Indeed, it raises as many questions for Comey as it does Trump in terms of the alleged underlying conduct.

A good place to start would be with the federal law, specifically 18 U.S.C. 1503. The criminal code demands more than what Comey reportedly describes in his memo. There are dozens of different variations of obstruction charges ranging from threatening witnesses to influencing jurors. None would fit this case. That leaves the omnibus provision on attempts to interfere with the “due administration of justice.”

However, that still leaves the need to show that the effort was to influence “corruptly” when Trump could say that he did little but express concern for a longtime associate. The term “corruptly” is actually defined differently under the various obstruction provisions, but it often involves a showing that someone acted “with the intent to secure an unlawful benefit for oneself or another.” Encouraging leniency or advocating for an associate is improper but not necessarily seeking an unlawful benefit for him.

. Obama’s Iran nuke deal

Obama knew about Hillary’s private email server

Obama IRS targets conservatives

Obama’s DOJ spies on AP reporters

Obamacare & Obama’s false promises

Illegal-alien amnesty by executive order

Benghazi-gate

Operation Fast & Furious

5 Taliban leaders for Bergdahl

Extortion 17

‘Recess ‘ appointments – when Senate was in session

Appointment of ‘czars’ without Senate approval

Suing Arizona for enforcing federal law

Refusal to defend Defense of Marriage Act

Illegally conducting war against Libya

NSA: Spying on Americans

Muslim Brotherhood ties

Miriam Carey

Birth certificate

Executive orders

Solyndra and the lost $535 million

Egypt

Cap & Trade: When in doubt, bypass Congress

Refusal to prosecute New Black Panthers

Obama’s U.S. citizen ‘hit list’"
Bill Nye is heading to Netflix to take down anti-scientific claims,"Bill Nye (Screenshot)

Nye first found television fame in the ’90s with his weekly children’s show on PBS. Now, he’s returning to the small screen — or, at least, the streaming device — with Bill Nye Saves the World, a Netflix series set to debut this spring.

“Each episode will tackle a topic from a scientific point of view,” Nye said in a statement, “dispelling myths, and refuting anti-scientific claims that may be espoused by politicians, religious leaders, or titans of industry.” Those topics include some hot-button issues, like vaccinations, genetically modified foods, and climate change.





Though he got his start on an uncontroversial kids’ show, in recent years Nye has not shied away from contentious issues. He’s been an especially outspoken critic of climate change deniers. Last year, he bet notorious denier Marc Marano $20,000 that 2016 would be one of the 10 hottest years on record. Morano declined the offer — which, considering the data, was probably wise.

Nye will get some help on his new show from special correspondents like Karlie Kloss. “We’ll be talking about every nerdy thing you can dream of,” says the model.

Katie Herzog, Grist"
Shoeless education: Primary school allows pupils to wear slippers to improve grades,"A school in Derbyshire is encouraging its pupils to wear slippers in the classroom to help improve their grades.

Findern Primary School, near Derby, is the latest to adopt the Scandinavian attitude of allowing children to take their shoes off inside.

Headteacher Emma Titchener suggested the idea to pupils after reading the results of a study that claimed “shoeless” children typically showed better behaviour and greater performance in class.

Observing thousands of children from 25 countries of a ten-year period, researchers from the University of Bournemouth found those who left their shoes outside the classroom were more likely to arrive at school earlier, leave later and read more widely.

Trialling the method in one class, teachers at Findern said they saw a significant difference in how students felt and acted in the classroom.

Ms Tichener told the Telegraph: “It has had a real positive impact; the children are much calmer and more receptive to learning.

“The pupils for more comfortable, they feel more at home and more in tune with the classes.

“The reception among children and teachers has been unanimously positive, and parents are also overwhelmingly supportive of it.

The world's toughest school run 5 show all The world's toughest school run 1/5 Children carry their schoolbags climb on a cliff on their way home in Zhaojue county in southwest China's Sichuan province Chinatopix/AP 2/5 Children carry their schoolbags accompanied by adults climb on a cliff bu using ladder as they on their way home in Zhaojue county in southwest China's Sichuan province Chinatopix/AP 3/5 A child carry her schoolbag looks as she takes a rest on a cliff as she and other children on their way back to home in Zhaojue county in southwest China's Sichuan province Chinatopix/AP 4/5 A village in China's mountainous west where schoolchildren must climb an 800-meter (2,625-foot)-high bamboo ladder secured to a sheer cliff face may get a set of steel stairs to improve safety Chinatopix/AP 5/5 Schoolchildren carry their schoolbags climb on a cliff on their way home in Zhaojue county in southwest China's Sichuan province Chinatopix/AP 1/5 Children carry their schoolbags climb on a cliff on their way home in Zhaojue county in southwest China's Sichuan province Chinatopix/AP 2/5 Children carry their schoolbags accompanied by adults climb on a cliff bu using ladder as they on their way home in Zhaojue county in southwest China's Sichuan province Chinatopix/AP 3/5 A child carry her schoolbag looks as she takes a rest on a cliff as she and other children on their way back to home in Zhaojue county in southwest China's Sichuan province Chinatopix/AP 4/5 A village in China's mountainous west where schoolchildren must climb an 800-meter (2,625-foot)-high bamboo ladder secured to a sheer cliff face may get a set of steel stairs to improve safety Chinatopix/AP 5/5 Schoolchildren carry their schoolbags climb on a cliff on their way home in Zhaojue county in southwest China's Sichuan province Chinatopix/AP

The school’s Deputy Headteacher, Michelle Hall, said the policy had since been extended across the school and most children and even some members of staff were now choosing to wear slippers over shoes.

“Our pupils are already very well behaved but there have been some changes,” she said. “There is less stomping around and the pupils are a lot calmer and seem very relaxed.”

The school is believed to be one of the first in the country to introduce the relaxed rules on shoewear, but the approach has long been used by schools in Europe, particularly in Scandinavian countries where the practice is commonplace.

In order to conduct their study, researchers from the University of Bournemouth visited schools in New Zealand and Australia, as well as a school in London where the habit had been tested.

Experts found that by removing shoes, classrooms were quieter, providing a calmer atmosphere where pupils were more willing to engage in learning activities.

Bullying in schools where the policy had been introduced was also markedly reduced.

In Scandinavia and other northern European countries, children are asked to leave shoes outside the classroom during bad weather, so as not to bring in slush and snow from outside.

However schools in Spain, where it is more common to wear shoes indoors, also tested out the theory and found improved learning and pupil behaviour.

Responding to some criticism of the policy from parents of Findern school pupils, Ms Titchener said: “Like anything you will always get some opposition to these things, but I think the idea that this makes the children less smartly dressed or less prepared for formal situations is a misconception.”

Bournemouth University said it hoped more UK schools would take up the change and see results.

"
"‘UK acting as weapons pimp, reaping rewards of Saudi Arabia’s dirty work’ — RT Op-ed","We know Riyadh has invaded Bahrain to suppress lawful and legal protests that were going on there, and they have also attacked the indigenous of Yemen, the Houthis, Raza Kazim, Islamic Human Rights Commission, told RT.

A cross-party group of British MPs have to decide whether to call for the suspension of UK weapons sales to Saudi Arabia or not. The British Prime Minister Theresa May insists sales should continue, and claims the close ties to the country are necessary to keep British people safe.

Read more

Her comments came after some British MPs called for the UK to halt its weapons sales to the Middle Eastern nation. Members of the Arms Export Controls committee claim that British weapons might have been used in violations of international humanitarian law.

RT: The Prime Minister's comments have now been backed by the Foreign Minister, Boris Johnson. Yet reports suggest quite the opposite. Why are Britain's decision makers going against the clear findings?

Raza Kazim: I think we need to look at the plethora of evidence that has been gathered. The Committee itself has said that the UK government is probably in violation of its international human rights obligations due to the way that the weapons that have been supplied by the UK have been used. It is said that the assurances supplied by the Saudi government are also not sufficient, not acceptable and so on. Yet, the UK government continues. We need to understand that basically the UK government is acting like a pimp, and is reaping the benefits of the dirty work that Saudi Arabia is actually doing. This needs to stop.

RT: Saudi Arabia is claiming if the UK suspends arms sales, there might be even higher risks of terrorism spreading. Is that a valid point?

RK: There is no evidence to suggest that. Saudi Arabia is the one that is carrying out acts of terrorism. We know that it has invaded Bahrain to suppress lawful and legal protests that were going on there. We’ve seen how Saudi Arabia has attacked Yemen and the indigenous of Yemen, as well, the Houthis, who have been wanting to have self-determination in terms of who is governing them, rather than something that is imposed from Riyadh. We’ve seen that various organizations, Save the Children, have come out and said that they are not happy with what has been going on. Hospitals, schools and school teachers, head teachers, etc. have been bombed by Saudi Arabia. We’ve seen the facilities of Médecins Sans Frontières [(MSF) Doctors Without Borders] hospitals being bombed and verified by MSF.

Yet, despite all the evidence that has been gathered in terms of what has been going on, the UK government continues this. We need to be aware that the intelligence offices and people from the UK military establishment are embedded in the command and control center of where these strikes take place. This has been verified in various ways – by both Saudi Arabia and the UK. We know that this is going on continuously...

Not easy to resist temptation of easy money

Daoud Khairallah, International Law professor at Georgetown University said that it has not been easy for Britain, the US, or other countries that are providing Saudi Arabia and its allies with weapons, “to resist the temptation of money and corruption.”

RT: The Prime Minister's comments have now been backed by the Foreign Minister, Boris Johnson. Yet reports suggest quite the opposite. Why are Britain's decision makers going against the clear findings?

Daoud Khairallah: Well, it has not been easy whether for Britain, or the US, or other countries that are providing Saudi Arabia and its allies with weapons. It has not been easy to resist the temptation of money and corruption in this sense. The fact is that we have a threat to the international community, to the whole world by terrorism, and the source of support of these terrorist organizations is well-known now. We know the role that Saudi Arabia is playing.

Read more

Add to this, when Saudi Arabia is involved in military operations, such as in Yemen, crimes of war and crimes against humanities have been committed. And the international community has not been sufficiently diligent to investigate and make accountable those responsible for it. Very few journalist and otherwise have the moral courage of speaking out. In the UK apparently some free minds are expressing concerns and rightly so. This is in response to what the whole human race now is concerned about.

RT: Theresa May rejected calls for the UK to halt arms sales to Saudi Arabia and stressed the value of close security co-operation with Riyadh. So do you believe the grounds for such a decision are good enough?

DK: The only explanation is the temptation of providing Saudi Arabia with weapons that are richly paid for by the Saudis. It is very difficult to find another explanation, another reasonable explanation. Humanity is not safer with more violence; it is not safer with encouraging extremist groups that are doing all over the Middle East now and expending throughout the world – things that are of real concern to the human race and those who still have some moral courage to speak about it."
"Colin Firth, 'gerçek' Bay Darcy'ye benzemiyormuş",[]
"“I Actually Want To Be Eaten”, Local Cow Hits Back At Vegans – Waterford Whispers News","Share 0 SHARES

A COUNTY Waterford cow has today slammed vegans for protesting against meat consumption, stating that it would be an absolute honour for her to be slaughtered and then eaten by humans.

Jersey (4) said she has been fantasising about being killed and eaten her whole entire life, and admits that she is just counting down the days until her execution.

“There’s just something about getting my throat slit, or having a bolt penetrate my frontal lobes that really tingles my udders,” the bovine explains, “it’s the ultimate climax of an uneventful life of eating, shitting and mooing. If vegans had any idea how fucking boring it is just grazing in a field, listening to the sound of your own turds splattering your hind legs, they’d understand what it means to become a prime cut of steak. I’d eat myself if I could”.

Jersey’s comments come after a series of vegan demonstrations across the world this week, including Dublin, where an animal rights activist lay naked on a life sized plate of vegetables, with the phrase ‘know who you’re eating’ written on it.

“No vegan ever asked me if I wanted to be eaten or not,” mooed Jersey, “how did they get the impression that animals needed someone to talk for us? Cows love being killed and eaten.” With the cow adding, “it’s sexy. There, I’ve said it. Actually, I wish I was being carved up right now by a serrated edge”.

Unfortunately, Jersey will have to wait another year before being slaughtered in the nearby meat factory."
SpaceX Rocket Explodes at Launchpad in Cape Canaveral,"The explosion was particularly painful news for Facebook’s chief executive, Mark Zuckerberg, who is touring Kenya, promoting a program reliant on the satellite, known as Amos-6, with entrepreneurs in the country. He had promised them connectivity.

Just hours after the news of the explosion broke, Mr. Zuckerberg expressed disappointment on his Facebook page “that SpaceX’s launch failure destroyed our satellite,” a swipe at Mr. Musk and his team, who were still trying to figure out what went wrong.

Mr. Musk did not respond publicly to Mr. Zuckerberg. But he posted a brief explanation on Twitter: “Loss of Falcon vehicle today during propellant fill operation. Originated around upper stage oxygen tank. Cause still unknown. More soon.”

The Falcon 9, developed by SpaceX with NASA financing, has had previous problems. In June 2015, a rocket carrying NASA cargo to the International Space Station fell apart in-flight when a strut holding a helium bottle snapped, setting off a chain of events that destroyed the rocket moments later. This latest episode is likely to push back the timetable NASA had after hiring SpaceX and Boeing to carry astronauts to the space station by the end of next year.

NASA said it was too soon to say how the explosion would affect its space station operations, asserting that it remained “confident” in its commercial partners. “Today’s incident — while it was not a NASA launch — is a reminder that spaceflight is an incredible challenge, but our partners learn from each success and setback,” the agency said."
"Michelle Alexander: White Men Get Rich from Legal Pot, Black Men Stay in Prison","Michelle Alexander: White Men Get Rich from Legal Pot, Black Men Stay in Prison

Photo Credit: By Miller Center [CC-BY-2.0 (http://creativecommons.org/licenses/by/2.0)], via Wikimedia Commons

Ever since Colorado and Washington made the unprecedented move to legalize recreational pot last year, excitement and stories of unfettered success have billowed into the air. Colorado's marijuana tax revenue far exceeded expectations, bringing a whopping $185 million to the state, and tourists are lining up to taste the budding culture (pun intended). Several other states are now looking to follow suit and legalize.

But the ramifications of this momentous shift are left unaddressed. When you flick on the TV to a segment about the flowering pot market in Colorado, you'll find that the faces of the movement are primarily white and male. Meanwhile, many of the more than 210,000 people who were arrested for marijuana possession in Colorado between 1986 and 2010 according to a report from the Marijuana Arrest Research Project, remain behind bars. Thousands of black men and boys still sit in prisons for possession of the very plant that's making those white guys on TV rich.

“In many ways the imagery doesn't sit right,” said Michelle Alexander, associate professor of law at Ohio State University and author of The New Jim Crow: Mass Incarceration in the Age of Colorblindness in a public conversation on March 6 with Asha Bandele of the Drug Policy Alliance. “Here are white men poised to run big marijuana businesses, dreaming of cashing in big—big money, big businesses selling weed—after 40 years of impoverished black kids getting prison time for selling weed, and their families and futures destroyed. Now, white men are planning to get rich doing precisely the same thing?”

Alexander said she is “thrilled” that Colorado and Washington have legalized pot and that Washington D.C. decriminalized possession of small amounts earlier this month. But she said she’s noticed ""warning signs"" of a troubling trend emerging in the pot legalization movement: Whites—men in particular—are the face of the movement, and the emerging pot industry. (A recent In These Times article titled “The Unbearable Whiteness of Marijuana Legalization,” summarize this trend.)

Alexander said for 40 years poor communities of color have experienced the wrath of the war on drugs.

“Black men and boys” have been the target of the war on drugs’ racist policies—stopped, frisked and disturbed—“often before they’re old enough to vote,” she said. Those youths are arrested most often for nonviolent first offenses that would go ignored in middle-class white neighborhoods.

“We arrest these kids at young ages, saddle them with criminal records, throw them in cages, and then release them into a parallel social universe in which the very civil and human rights supposedly won in the Civil Rights movement no longer apply to them for the rest of their lives,” she said. “They can be discriminated against [when it comes to] employment, housing, access to education, public benefits. They're locked into a permanent second-class status for life. And we’ve done this in precisely the communities that were most in need of our support.”

As Asha Bandele of DPA pointed out during the conversation, the U.S. has 5% of the world’s population and 25% of the world’s prisoners. Today, 2.2 million people are in prison or jail and 7.7 million are under the control of the criminal justice system, with African American boys and men—and now women—making up a disproportionate number of those imprisoned.

Alexander’s book was published four years ago and spent 75 weeks on the New York Times bestseller list, helping to bring mass incarceration to the forefront of the national discussion.

Alexander said over the last four years, as she’s been traveling from state to state speaking to audiences from prisons to universities about her book, she’s witnessed an “awakening.” More and more people are talking about mass incarceration, racism and the war on drugs.

Often when people talk about the reasons certain communities are impoverished or lack education they blame the personal choices or moral shortcomings of the people in those communities, but that way of looking at things has got it backwards, she said.

“That these communities are poor and have failing schools and have broken rules is not because of their personal failings but because we’ve declared war on them,” she said. “We’ve spent billions of dollars building prisons and allowing schools to fail. We’ve decimated these communities by shuttling young people from their underfunded schools to these brand new, high tech prisons. We’ve begun targeting children in these communities at young ages.”

Alexander cautioned that drug policy activists need to keep this disparity in mind and cultivate a conversation about repairing the damages done by the systemic racism of the war on drugs, before cashing in on legalization.

“After waging a brutal war on poor communities of color, a drug war that has decimated families, spread despair and hopelessness through entire communities, and a war that has fanned the flames of the very violence it was supposedly intended to address and control; after pouring billions of dollars into prisons and allowing schools to fail; we’re gonna simply say, we’re done now?” Alexander said. “I think we have to be willing, as we’re talking about legalization, to also start talking about reparations for the war on drugs, how to repair the harm caused.”

Alexander used the example of post-apartheid reparations in South Africa to point out the way a society can and should own up to its past mistakes. After apartheid ended, the nation passed a law called the Promotion of National Unity and Reconciliation Act of 1995. Under the new law, a Truth and Reconciliation Commission was formed to ""elicit truth"" about the human rights violations that had occurred. The commission recorded the statements of witnesses who endured ""gross human rights violations"" and facilitated public hearings. Those who had committed violence could request amnesty from civil and criminal prosecution in order to share testimony about what they'd done with the commission.

“At the end of apartheid in South Africa there was an understanding that there could be no healing, no progress, no reconciliation without truth,” she said. “You can’t just destroy a people and then say ‘It’s over, we’re stopping now.’ You have to be willing to deal with the truth, deal with the history openly and honestly.”

Alexander pointed to America’s tendency to shove its racist legacies under the rug rather than own up to them. When the civil war ended, slaves were free on paper but they were left with nothing—“no 40 acres and a mule, nothing,” Alexander said. The only option was to work low-paying contract jobs for the same slave owners who had previously brutalized them.

“And after a brief period of reconstruction a new caste system was imposed—Jim Crow—and another extraordinary movement arose and brought the old Jim Crow to its knees,” she said. “Americans said, OK, we’ll stop now. We’ll take down the whites-only signs, we’ll stop doing that. But there were not reparations for slavery, not for Jim Crow, and scarcely an acknowledgement of the harm done except for Martin Luther King Day, one day out of the year. And I feel like, here we go again.”

Last week, Obama pushed out an initiative called My Brother’s Keeper, focused on helping black boys who have fallen down the social ladder. Alexander said she’s glad Obama is shining a spotlight on the crisis facing black communities. However, she said Obama has perpetuated the backward way of framing the situation when he talks about the issues facing those communities.

""I am worried that much of the initiative is more based in rhetoric than in meaningful commitment to address the structures and institutions that have created the conditions in these communities,"" she said.

Asked about the unlikely relationship forming between U.S. Attorney General Eric Holder and Kentucky’s Tea Party senator Rand Paul, both of whom are standing together to end mandatory minimum sentences for drug offenders, Alexander responded she is wary of whether these politicians are making the right decisions for the wrong reasons.

She cautioned that politicians across the political spectrum are “highly motivated” to downsize prisons because the U.S. can no longer afford to maintain a massive prison state without raising taxes “on the predominantly white middle class.” That shortsighted way of thinking fails to recognize the larger societal patterns that keep the U.S. cycling through various “caste-like” systems.

“If we're going to downsize these prisons and change marijuana laws and all that, in order to save some cash, but in that process to change these laws, we haven't woken up to the magnitude of the harm that we have done,” she said. “Ultimately, at least from my perspective, this movement to end mass incarceration and this movement to end the drug war is about breaking our nation’s habit of creating caste-like systems in America,” she said. She added that regardless of whether they’re struggling with addiction and drug abuse or have a felony on their record, people deserve to be treated with basic human rights.

“How were we able to permanently lock out of mainstream society tens of millions of people, destroy families?” she said. “If we’re not going to have a real conversation about that and ultimately be willing to care for ‘them,’ the ‘others,’ those ‘ghetto dwellers’ who’ve been demonized in this rush to declare war, we’re going to find ourselves years from now either still having a slightly downsized system of mass incarceration that continues to hum along very well, or we will have managed to downsize our prisons but some new system of racial and social control will have emerged again because we have not yet learned the core lesson that our racial history has been trying to teach us.”

Listen to the complete talk here."
